MaSP,TenSP,DanhMuc,Gia,SoLuongTon,HinhAnh,MoTa,TrangThai,KichThuoc,ChatLieu,MauSac,BaoHanh,XuatXu,MoTaChiTiet
SP001,Kệ góc phòng tắm thông minh cao cấp SP001,Phòng tắm,13240000,47,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80,Kệ góc phòng tắm chất liệu đá nhân tạo chống thấm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,229cm x 86cm x 90cm,Đá nhân tạo chống thấm,Vàng sồi tự nhiên,12 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ góc phòng tắm thông minh cao cấp SP001 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP002,Tủ bếp trên Retro hoài cổ SP002,Phòng bếp,20980000,13,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1517256064527-09c53b2d0c6b?w=600&q=80|https://images.unsplash.com/photo-1532372320572-cda25653a26d?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80,Tủ bếp trên chất liệu chân sắt sơn tĩnh điện mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,230cm x 57cm x 83cm,Chân sắt sơn tĩnh điện,Nâu hạt dẻ ấm áp,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tủ bếp trên Retro hoài cổ SP002 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP003,Rèm bồn tắm Scandinavian SP003,Phòng tắm,13050000,44,https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80,Rèm bồn tắm chất liệu nhựa đặc pvc chịu nước tuyệt đối mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,80cm x 67cm x 174cm,Nhựa đặc PVC chịu nước tuyệt đối,Vàng sồi tự nhiên,24 tháng,iDECOR Việt Nam,"Sản phẩm Rèm bồn tắm Scandinavian SP003 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP004,Kệ treo quần áo chữ A Retro hoài cổ SP004,Phòng ngủ,17810000,41,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80,Kệ treo quần áo chữ A chất liệu cốt gỗ xanh chống ẩm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,182cm x 82cm x 68cm,Cốt gỗ xanh chống ẩm,Xám đậm hiện đại,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Kệ treo quần áo chữ A Retro hoài cổ SP004 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP005,Gương LED cảm ứng phong cách Japandi SP005,Phòng tắm,16270000,57,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80,Gương LED cảm ứng chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,225cm x 91cm x 51cm,Phôi gương Bỉ cao cấp,Nâu hạt dẻ ấm áp,36 tháng,iDECOR Việt Nam,"Sản phẩm Gương LED cảm ứng phong cách Japandi SP005 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP006,Bàn ăn hiện đại SP006,Phòng bếp,7280000,53,https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80|https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80,Bàn ăn chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,132cm x 42cm x 187cm,Inox 304,Trắng kem tối giản,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Bàn ăn hiện đại SP006 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP007,Giá treo khăn inox phong cách Japandi SP007,Phòng tắm,17640000,56,https://images.unsplash.com/photo-1542728928-1413d1894ed1?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80,Giá treo khăn inox chất liệu inox 304 xước mờ mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,200cm x 63cm x 155cm,Inox 304 xước mờ,Ghi xám thanh lịch,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Giá treo khăn inox phong cách Japandi SP007 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP008,Kệ để đồ sau bồn cầu sang trọng SP008,Phòng tắm,22300000,33,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80,Kệ để đồ sau bồn cầu chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,66cm x 66cm x 60cm,Phôi gương Bỉ cao cấp,Ghi xám thanh lịch,36 tháng,iDECOR Việt Nam,"Sản phẩm Kệ để đồ sau bồn cầu sang trọng SP008 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP009,Tủ bếp trên phong cách Japandi SP009,Phòng bếp,5760000,53,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80,Tủ bếp trên chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,169cm x 65cm x 56cm,Inox 304,Ghi xám thanh lịch,12 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Tủ bếp trên phong cách Japandi SP009 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP010,Đèn sàn trang trí thông minh cao cấp SP010,Phòng khách,17350000,59,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=600&q=80,Đèn sàn trang trí chất liệu vải nỉ hàn quốc mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,125cm x 88cm x 219cm,Vải nỉ Hàn Quốc,Xanh mint pastel,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Đèn sàn trang trí thông minh cao cấp SP010 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
